seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
0,4.0,3.0,1.0,0.6281598039215684,0.5631820261437909,0.06497777777777758,57.0,60.0,-3.0,0.5705,0.5705,0.0,0.09726666666666661,0.09726666666666661,0.0
1,4.0,4.0,0.0,0.6268084967320261,0.5709555555555555,0.05585294117647055,57.0,61.0,-4.0,0.5691,0.5692,-9.999999999998899e-05,0.09586666666666666,0.09596666666666664,-9.999999999998899e-05
2,3.0,4.0,-1.0,0.6208457516339869,0.56714477124183,0.05370098039215687,57.0,60.0,-3.0,0.8934,0.8677,0.025699999999999945,0.3276699999999999,0.30197000000000007,0.025699999999999834
3,4.0,3.0,1.0,0.6246866013071894,0.5618091503267973,0.0628774509803921,58.0,60.0,-2.0,0.5659,0.5278,0.03809999999999991,0.08799999999999997,0.049899999999999944,0.03810000000000002
4,3.0,4.0,-1.0,0.6233003267973857,0.5680297385620915,0.05527058823529418,57.0,60.0,-3.0,0.8815,0.8708,0.010699999999999932,0.3157700000000001,0.3050700000000002,0.010699999999999932
5,3.0,4.0,-1.0,0.6205094771241829,0.5644725490196077,0.05603692810457517,57.0,61.0,-4.0,0.9097,0.9059,0.0037999999999999146,0.3433333333333334,0.33953333333333324,0.0038000000000001366
6,4.0,4.0,0.0,0.6254767973856209,0.5681705882352941,0.0573062091503268,58.0,60.0,-2.0,0.5687,0.5652,0.0034999999999999476,0.0828299999999999,0.07933000000000007,0.0034999999999998366
7,4.0,4.0,0.0,0.6244395424836602,0.560190522875817,0.06424901960784313,58.0,61.0,-3.0,0.5689,0.5659,0.0030000000000000027,0.09100000000000008,0.08799999999999997,0.0030000000000001137
8,3.0,4.0,-1.0,0.6205094771241829,0.5647745098039216,0.055734967320261286,57.0,61.0,-4.0,0.8984,0.8911,0.007299999999999973,0.33267000000000013,0.32537000000000005,0.007300000000000084
9,3.0,4.0,-1.0,0.6281369281045752,0.5671127450980393,0.06102418300653589,56.0,59.0,-3.0,0.5436,0.5402,0.0033999999999999586,0.07048999999999994,0.06708999999999998,0.0033999999999999586
10,3.0,4.0,-1.0,0.6233003267973857,0.5680297385620915,0.05527058823529418,57.0,60.0,-3.0,0.8815,0.8708,0.010699999999999932,0.3157700000000001,0.3050700000000002,0.010699999999999932
11,4.0,4.0,0.0,0.6268084967320261,0.5709555555555555,0.05585294117647055,57.0,61.0,-4.0,0.5691,0.5692,-9.999999999998899e-05,0.09586666666666666,0.09596666666666664,-9.999999999998899e-05
12,3.0,4.0,-1.0,0.6233003267973857,0.5641477124183006,0.05915261437908503,57.0,61.0,-4.0,0.8815,0.8668,0.014699999999999935,0.3157700000000001,0.30107000000000017,0.014699999999999935
13,3.0,4.0,-1.0,0.6216941176470586,0.5648104575163398,0.05688366013071877,57.0,61.0,-4.0,0.8929,0.893,-9.999999999998899e-05,0.33003666666666676,0.33013666666666663,-9.999999999987796e-05
14,4.0,3.0,1.0,0.6259977124183006,0.5688424836601307,0.05715522875816992,58.0,60.0,-2.0,0.5614,0.5509,0.010500000000000065,0.07553000000000004,0.06502999999999998,0.010500000000000065
