seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
0,0.0,0.0,0.0,0.5661303921568627,0.6253065359477125,-0.05917614379084979,60.0,56.0,4.0,0.8966,0.8964,0.00019999999999997797,0.3308700000000002,0.33067,0.00020000000000020002
1,0.0,0.0,0.0,0.5690245098039216,0.6273673202614378,-0.058342810457516214,59.0,56.0,3.0,0.8734,0.8841,-0.010700000000000043,0.30110666666666663,0.31180666666666657,-0.010699999999999932
2,0.0,0.0,0.0,0.5689091503267975,0.6255290849673202,-0.05661993464052273,59.0,56.0,3.0,0.8677,0.8934,-0.025699999999999945,0.30197000000000007,0.3276699999999999,-0.025699999999999834
3,0.0,0.0,0.0,0.5660666666666666,0.6252330065359478,-0.059166339869281215,60.0,56.0,4.0,0.9046,0.9044,0.00019999999999997797,0.3335766666666665,0.33337666666666654,0.00019999999999997797
4,0.0,0.0,0.0,0.5696375816993464,0.6278555555555555,-0.05821797385620908,59.0,56.0,3.0,0.8704,0.8835,-0.0131,0.2965466666666666,0.30964666666666685,-0.013100000000000223
5,0.0,0.0,0.0,0.5731271241830065,0.6317732026143791,-0.058646078431372595,60.0,56.0,4.0,0.5658,0.5656,0.00019999999999997797,0.09256666666666669,0.0923666666666666,0.000200000000000089
6,0.0,0.0,0.0,0.5605581699346405,0.629713725490196,-0.06915555555555553,59.0,56.0,3.0,0.8921,0.8921,0.0,0.3257333333333332,0.3257333333333332,0.0
7,0.0,0.0,0.0,0.5696375816993464,0.6278555555555555,-0.05821797385620908,59.0,56.0,3.0,0.8704,0.8835,-0.0131,0.2965466666666666,0.30964666666666685,-0.013100000000000223
8,0.0,0.0,0.0,0.5660689542483659,0.6276875816993464,-0.06161862745098046,60.0,56.0,4.0,0.8612,0.8793,-0.018100000000000005,0.28734666666666664,0.30544666666666653,-0.018099999999999894
9,0.0,0.0,0.0,0.5653849673202614,0.6246686274509803,-0.05928366013071884,60.0,56.0,4.0,0.8674,0.8673,9.999999999998899e-05,0.29462333333333324,0.29452333333333325,9.999999999998899e-05
