seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
0,0.0,0.0,0.0,0.5741421568627452,0.575678431372549,-0.00153627450980387,59.0,59.0,0.0,0.5705,0.5705,0.0,0.09726666666666661,0.09726666666666661,0.0
1,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.9031,0.9031,0.0,0.33921333333333326,0.33921333333333326,0.0
2,0.0,0.0,0.0,0.577921568627451,0.5793022875816993,-0.0013807189542482945,59.0,59.0,0.0,0.8677,0.8677,0.0,0.30197000000000007,0.30197000000000007,0.0
3,0.0,0.0,0.0,0.5805977124183007,0.5821339869281047,-0.001536274509803981,60.0,60.0,0.0,0.5336,0.5336,0.0,0.05569999999999997,0.05569999999999997,0.0
4,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
5,0.0,0.0,0.0,0.5754277777777778,0.5766326797385622,-0.001204901960784488,60.0,60.0,0.0,0.9059,0.9059,0.0,0.33953333333333324,0.33953333333333324,0.0
6,0.0,0.0,0.0,0.580174183006536,0.58171045751634,-0.001536274509803981,60.0,60.0,0.0,0.5652,0.5652,0.0,0.07933000000000007,0.07933000000000007,0.0
7,0.0,0.0,0.0,0.5712127450980393,0.5727490196078432,-0.00153627450980387,60.0,60.0,0.0,0.5659,0.5659,0.0,0.08799999999999997,0.08799999999999997,0.0
8,0.0,0.0,0.0,0.5757297385620916,0.5769346405228759,-0.001204901960784266,60.0,60.0,0.0,0.8911,0.8911,0.0,0.32537000000000005,0.32537000000000005,0.0
9,0.0,0.0,0.0,0.5730947712418302,0.5763447712418303,-0.003250000000000086,59.0,59.0,0.0,0.5436,0.5436,0.0,0.07048999999999994,0.07048999999999994,0.0
10,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
11,0.0,0.0,0.0,0.5728790849673203,0.5756761437908496,-0.0027970588235293192,60.0,60.0,0.0,0.5691,0.5691,0.0,0.09586666666666666,0.09586666666666666,0.0
12,0.0,0.0,0.0,0.5751944444444445,0.5763993464052288,-0.001204901960784377,60.0,60.0,0.0,0.8668,0.8668,0.0,0.30107000000000017,0.30107000000000017,0.0
13,0.0,0.0,0.0,0.5755281045751635,0.5770643790849674,-0.001536274509803981,60.0,60.0,0.0,0.893,0.893,0.0,0.33013666666666663,0.33013666666666663,0.0
14,0.0,0.0,0.0,0.580852614379085,0.5823888888888891,-0.001536274509804092,60.0,60.0,0.0,0.5509,0.5509,0.0,0.06502999999999998,0.06502999999999998,0.0
15,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.9098,0.9098,0.0,0.34343333333333337,0.34343333333333337,0.0
