seed,sit_real,sit_null_ctperm,sit_null_obsperm,sit_null_random
0,5,28,37,43
1,5,28,39,48
2,5,25,33,50
3,5,24,37,44
4,5,27,34,50
5,5,25,33,49
6,5,31,33,48
7,5,31,37,52
8,5,29,35,48
9,5,33,35,49
10,5,28,42,48
11,5,29,31,49
12,5,24,38,48
13,5,27,39,56
14,5,31,37,51
15,5,32,32,48
16,5,27,38,48
17,5,33,39,50
18,5,31,31,49
19,5,28,33,48
20,5,28,36,50
21,5,32,37,51
22,5,33,34,49
23,5,29,36,49
24,5,28,32,49
25,5,31,36,46
26,4,31,37,49
27,5,32,33,49
28,4,30,29,47
29,5,34,33,47
30,5,33,34,47
31,5,27,39,56
32,4,30,38,50
33,5,27,37,47
34,5,29,31,46
35,5,26,36,44
36,5,29,36,44
37,5,28,35,47
38,5,30,35,50
39,5,31,36,45
40,5,27,34,51
41,5,31,37,48
42,5,27,35,49
43,5,28,32,46
44,5,25,40,49
45,5,27,38,47
46,5,30,33,46
47,5,25,34,50
48,5,28,41,48
49,5,24,36,51
50,5,25,34,44
51,4,28,39,48
52,5,27,37,46
53,5,30,36,53
54,5,30,30,49
55,5,30,35,49
56,5,21,39,45
57,5,28,36,54
58,5,29,35,51
59,5,32,40,50
60,5,36,40,47
61,5,29,41,48
62,5,35,34,52
63,5,26,34,51
64,5,29,40,42
65,5,27,33,53
66,5,34,38,48
67,5,29,37,46
68,5,27,35,46
69,5,27,39,49
70,5,28,40,48
71,5,25,38,45
72,5,31,32,51
73,5,30,37,47
74,5,28,34,48
75,5,33,27,49
76,5,29,35,53
77,5,26,33,43
78,5,22,36,47
79,5,24,36,46
80,5,30,33,52
81,5,32,39,45
82,5,27,33,46
83,5,26,35,46
84,5,25,44,48
85,5,24,37,49
86,5,24,35,50
87,4,24,35,48
88,5,30,37,49
89,4,30,34,47
90,5,28,36,48
91,4,25,37,51
92,5,32,35,50
93,5,31,35,49
94,5,22,32,49
95,5,26,36,47
96,5,31,33,48
97,5,29,36,48
98,5,20,36,46
99,5,31,36,50
100,5,28,35,54
101,5,25,38,49
102,5,31,39,50
103,4,29,36,42
104,5,33,37,48
105,5,34,39,51
106,5,32,33,48
107,5,32,35,50
108,5,27,38,49
109,5,30,41,47
110,5,26,31,44
111,5,31,43,49
112,5,35,34,48
113,5,28,38,50
114,5,30,40,47
115,5,23,35,49
116,5,25,40,52
117,5,22,35,48
118,5,27,35,50
119,5,31,38,49
120,5,28,36,49
121,5,28,37,49
122,5,27,30,45
123,5,28,32,49
124,5,26,35,52
125,5,20,32,52
126,5,26,37,49
127,4,32,39,45
128,5,32,41,50
129,4,29,39,49
130,5,27,38,47
131,5,29,34,49
132,5,27,37,46
133,5,29,35,44
134,5,27,36,46
135,5,23,39,47
136,5,24,41,51
137,5,31,36,46
138,5,29,37,49
139,4,34,37,45
140,5,28,35,48
141,5,28,39,52
142,5,32,35,46
143,5,31,38,51
144,5,30,32,47
145,5,35,36,51
146,5,30,37,48
147,5,25,32,49
148,5,27,38,50
149,5,30,35,49
150,5,31,34,50
151,5,28,37,50
152,5,34,33,47
153,5,30,32,50
154,5,32,34,48
155,5,25,36,43
156,5,32,37,46
157,5,22,37,50
158,5,27,35,50
159,5,28,38,49
160,5,31,33,47
161,5,31,39,48
162,5,32,35,45
163,4,33,40,51
164,5,32,35,49
165,5,24,38,47
166,5,29,37,47
167,5,31,38,50
168,5,26,37,44
169,5,26,31,50
170,5,30,35,46
171,5,24,37,47
172,5,28,35,50
173,5,25,38,48
174,5,32,35,52
175,5,28,42,47
176,5,28,36,46
177,5,22,38,52
178,5,33,38,50
179,5,28,33,50
180,5,26,38,52
181,5,33,33,49
182,5,26,33,49
183,5,29,44,51
184,5,23,32,46
185,5,24,41,45
186,5,26,33,49
187,5,29,38,50
188,5,28,35,45
189,5,22,31,46
190,5,34,34,47
191,4,30,37,54
192,5,27,34,51
193,5,29,34,48
194,5,25,34,45
195,5,31,33,42
196,5,27,31,47
197,5,22,32,51
198,5,30,36,46
199,5,22,32,47
